=== N-HEDRON SWEEP: Lambda vs Prime Indicator ===
Sweeping q = 3 to 200, N = 3000

--- STRIKE 1: Full sweep ---
   q    mu   phi    I_prime   I_Lambda  Ramanujan  Lam/Pri
  # 9 q= 30: I_P=0.013951  I_L=0.000006  mu=-1 phi=8  sqfree
  #10 q= 22: I_P=0.010804  I_L=0.000005  mu=+1 phi=10  sqfree
  #11 q= 11: I_P=0.009396  I_L=0.000932  mu=-1 phi=10  sqfree
  #12 q= 13: I_P=0.007635  I_L=0.000771  mu=-1 phi=12  sqfree
  #13 q= 42: I_P=0.007551  I_L=0.000047  mu=-1 phi=12  sqfree
  #14 q= 21: I_P=0.007135  I_L=0.000021  mu=+1 phi=12  sqfree
  #15 q= 34: I_P=0.006531  I_L=0.000010  mu=+1 phi=16  sqfree
  #16 q= 26: I_P=0.005765  I_L=0.000008  mu=+1 phi=12  sqfree
  #17 q=140: I_P=0.005495  I_L=0.000104  mu=+0 phi=48  NOT sqfree
  #18 q=139: I_P=0.005202  I_L=0.000111  mu=-1 phi=138  sqfree
  #19 q=141: I_P=0.004689  I_L=0.000077  mu=+1 phi=92  sqfree
  #20 q=138: I_P=0.003994  I_L=0.000082  mu=-1 phi=44  sqfree

--- Top 20 by Lambda-weighted ---
  # 1 q=  2: I_L=0.006890  I_P=0.990719  mu=-1 phi=1  sqfree
  # 2 q=  3: I_L=0.004637  I_P=0.247436  mu=-1 phi=2  sqfree
  # 3 q=  5: I_L=0.002557  I_P=0.071072  mu=-1 phi=4  sqfree
  # 4 q=  4: I_L=0.002377  I_P=0.000270  mu=+0 phi=2  NOT sqfree
  # 5 q=  7: I_L=0.001738  I_P=0.028325  mu=-1 phi=6  sqfree
  # 6 q= 11: I_L=0.000932  I_P=0.009396  mu=-1 phi=10  sqfree
  # 7 q=  9: I_L=0.000797  I_P=0.000500  mu=+0 phi=6  NOT sqfree
  # 8 q=  8: I_L=0.000788  I_P=0.000375  mu=+0 phi=4  NOT sqfree
  # 9 q= 13: I_L=0.000771  I_P=0.007635  mu=-1 phi=12  sqfree
  #10 q= 17: I_L=0.000415  I_P=0.003566  mu=-1 phi=16  sqfree
  #11 q= 19: I_L=0.000374  I_P=0.003348  mu=-1 phi=18  sqfree
  #12 q=171: I_L=0.000309  I_P=0.000732  mu=+0 phi=108  NOT sqfree
  #13 q=170: I_L=0.000306  I_P=0.000648  mu=-1 phi=64  sqfree
  #14 q=193: I_L=0.000298  I_P=0.001458  mu=-1 phi=192  sqfree
  #15 q=194: I_L=0.000290  I_P=0.001509  mu=+1 phi=96  sqfree
  #16 q=192: I_L=0.000279  I_P=0.001332  mu=+0 phi=64  NOT sqfree
  #17 q=172: I_L=0.000271  I_P=0.000768  mu=+0 phi=84  NOT sqfree
  #18 q=169: I_L=0.000265  I_P=0.000521  mu=+0 phi=156  NOT sqfree
  #19 q=195: I_L=0.000258  I_P=0.001511  mu=-1 phi=96  sqfree
  #20 q= 16: I_L=0.000257  I_P=0.000053  mu=+0 phi=8  NOT sqfree

--- STRIKE 3: What makes Lambda bright? ---
Checking: is squarefree still the rule for Lambda?

                Squarefree    Not-squarefree
  Bright:           6              3
  Dark:           115             75

  NON-SQUAREFREE BRIGHT for Lambda:
    q=4: I_Lambda=0.002377 (mu=0)
    q=8: I_Lambda=0.000788 (mu=0)
    q=9: I_Lambda=0.000797 (mu=0)

--- STRIKE 4: Lambda/Prime ratio at bright wavelengths ---
Does Lambda amplify or suppress the signal vs prime indicator?

Sorted by Lambda/Prime ratio:
   q    I_Prime   I_Lambda    ratio
--------------------------------------
 191   0.001128   0.000236   0.2089 Lambda WEAKER
 193   0.001458   0.000298   0.2044 Lambda WEAKER
 194   0.001509   0.000290   0.1919 Lambda WEAKER
 195   0.001511   0.000258   0.1706 Lambda WEAKER
 154   0.001128   0.000163   0.1444 Lambda WEAKER
  43   0.001092   0.000148   0.1355 Lambda WEAKER
